venue_city,segment_name,min_price,max_price,average_price,venue_latitude,venue_longitude
Atlanta,Sports,20.62727272727273,425.2818181818182,222.95454545454547,33.84966506,-84.44530090636363
Atlantic City,Arts & Theatre,92.38853503184713,134.87261146496814,113.63057324840764,39.357993894713374,-74.43543677547771
Atlantic City,Film,18.0,18.0,18.0,39.4061431,-74.4455451
Atlantic City,Miscellaneous,46.333333333333336,179.66666666666666,113.0,39.36445949666667,-74.42907004999999
Atlantic City,Music,51.66180555555556,110.21041666666666,80.9361111111111,39.36616677522556,-74.42862208028721
Atlantic City,Sports,35.75,100.75,68.25,39.35651225,-74.4343055
Auburn,Arts & Theatre,37.25,109.75,73.5,47.26425586780603,-122.15230135
Auburn,Music,55.47222222222222,129.91666666666666,92.69444444444444,47.27945662769826,-122.17691654444444
Augusta,Arts & Theatre,46.5,127.0,86.75,33.471204,-81.966101
Augusta,Miscellaneous,25.0,297.0,161.0,44.3418905,-69.7978526
Augusta,Music,48.97727272727273,120.52272727272727,84.75,33.471204,-81.966101
Aurora,Music,100.0,900.0,500.0,41.7558752,-88.2161976
Austin,Arts & Theatre,42.75,52.46875,47.609375,30.244719125,-97.728396625
Austin,Music,34.04689189189189,63.47594594594595,48.76141891891891,30.26228158108108,-97.73373010135136
Austin,Sports,43.42857142857143,784.7857142857143,414.10714285714283,30.274854857142856,-97.73043857142856
Aventura,Arts & Theatre,45.98344827586207,55.05241379310345,50.51793103448276,25.94960232,-80.13458177
Aventura,Music,52.05666666666667,62.46619047619048,57.261428571428574,25.94960232,-80.13458177
Bakersfield,Music,28.3475,56.22,42.28375,35.38828650000001,-119.02330475
Baltimore,Arts & Theatre,51.78121212121212,166.06717171717173,108.92419191919193,39.28942448838384,-76.62036283484848
Baltimore,Miscellaneous,52.204081632653065,433.6938775510204,242.94897959183675,39.287750061224486,-76.62050687755102
Baltimore,Music,37.00725806451613,83.6040322580645,60.30564516129032,39.28962318951613,-76.61466433790324
Baltimore,Sports,17.580645161290324,68.96774193548387,43.274193548387096,39.284206737096774,-76.65113821903226
Bangor,Arts & Theatre,32.04545454545455,70.68181818181819,51.36363636363637,44.78875141090909,-68.77786856909091
Bangor,Miscellaneous,21.25,53.75,37.5,44.78812225,-68.77827846
Bangor,Music,39.6,80.7,60.15,44.790890558,-68.77647494
Bangor,Sports,20.0,105.0,62.5,44.78812225,-68.77827846
Baton Rouge,Arts & Theatre,60.0,118.33333333333333,89.16666666666667,30.4442887,-91.1875117
Baton Rouge,Miscellaneous,22.68421052631579,46.63157894736842,34.6578947368421,30.4448242,-91.1899635
Baton Rouge,Music,27.630434782608695,103.83695652173913,65.7336956521739,30.411216191304348,-91.14283535217392
Baton Rouge,Sports,10.13888888888889,24.305555555555557,17.22222222222222,30.444824199999996,-91.1899635
Bay St Louis,Music,42.5,78.75,60.625,30.3237,-89.352115
Beaumont,Arts & Theatre,37.46875,56.21875,46.84375,30.08099675,-94.11187745
Beaumont,Film,6.0,6.0,6.0,30.081954000000003,-94.097772
Beaumont,Miscellaneous,30.0,319.0,174.5,30.080174,-94.1265562
Beaumont,Music,35.333333333333336,74.0,54.666666666666664,30.081954,-94.097772
Beaumont,Sports,24.0,28.0,26.0,30.080174,-94.1265562
Bedford,Arts & Theatre,25.25,48.0,36.625,41.40758,-81.52043
Belleville,Arts & Theatre,25.0,220.0,122.5,42.2185947623,-83.5218059153
Belleville,Miscellaneous,10.0,15.0,12.5,42.2185947623,-83.5218059153
Belleville,Music,26.25,358.75,192.5,42.2185947623,-83.5218059153
Bellevue,Sports,15.0,15.0,15.0,36.0813369,-86.9509735
Bellflower,Arts & Theatre,24.406666666666666,146.745,85.57583333333332,33.88378,-118.12405
Belmont Park,Arts & Theatre,52.25,280.5,166.375,40.71187893,-73.72613877
Belmont Park,Miscellaneous,23.635714285714283,163.6357142857143,93.63571428571429,40.71187893,-73.72613877
Belmont Park,Music,50.644,256.59499999999997,153.6195,40.71187893,-73.72613877
Belmont Park,Sports,50.94871794871795,528.4102564102565,289.6794871794872,40.71187893,-73.72613877
Bemidji,Sports,7.384615384615385,24.307692307692307,15.846153846153847,47.46329542,-94.85384673999998
Bend,Arts & Theatre,39.5,129.5,84.5,44.048328,-121.321527
Bend,Music,48.40909090909091,99.77272727272727,74.0909090909091,44.05354124545455,-121.31548336363636
Bensalem,Music,30.25,30.25,30.25,40.07169,-74.93927
Berkeley,Music,53.166666666666664,96.5,74.83333333333333,37.8740742,-122.2555418
Berwyn,Music,16.727272727272727,133.63636363636363,75.18181818181819,41.86489,-87.78952
Bethel,Arts & Theatre,5.833333333333333,30.452380952380953,18.142857142857142,41.69633950666667,-74.87756507619048
Bethel,Miscellaneous,21.470588235294116,70.6470588235294,46.05882352941177,41.69688884,-74.8779738
Bethel,Music,29.5,69.5,49.5,41.69688884,-74.8779738
Bethel Park,Music,29.95,85.0,57.475,40.341069661,-80.039002599
Bethlehem,Arts & Theatre,35.92857142857143,70.21428571428571,53.07142857142857,40.6143211,-75.3569211
Bethlehem,Miscellaneous,45.0,89.0,67.0,40.6143211,-75.3569211
Bethlehem,Music,46.75,80.30555555555556,63.52777777777778,40.6143211,-75.3569211
