performer_id,genre_id
K8vZ917QtDV,KnvZfZ7vAe1
K8vZ917QtDV,KnvZfZ7vAe1
K8vZ917j6x0,KnvZfZ7vAeA
K8vZ917Q0hV,KnvZfZ7vAvv
K8vZ91713gf,KnvZfZ7vAeA
K8vZ9171K37,KnvZfZ7vAeA
K8vZ9179Vpf,KnvZfZ7vAeA
K8vZ91715SV,KnvZfZ7vAeA
K8vZ91715SV,KnvZfZ7vAeA
K8vZ91715SV,KnvZfZ7vAeA
K8vZ91715SV,KnvZfZ7vAeA
K8vZ917bvf7,KnvZfZ7vAeA
K8vZ917bvf7,KnvZfZ7vAeA
K8vZ917bvf7,KnvZfZ7vAeA
K8vZ917bvf7,KnvZfZ7vAeA
K8vZ917bvf7,KnvZfZ7vAeA
K8vZ9171hN7,KnvZfZ7vAeA
K8vZ9171hN7,KnvZfZ7vAeA
K8vZ917Gah0,KnvZfZ7vAeA
K8vZ917Gah0,KnvZfZ7vAeA
