event_id,event_name,event_type,event_url,locale,start_date,start_time,timezone,status,venue_id,venue_name,venue_city,venue_state,venue_country,venue_address,venue_postal_code,venue_latitude,venue_longitude,segment_name,genre_name,sub_genre_name
Z698xZ2qZa1bu,Milo J,event,https://www.ticketmaster.es/event/milo-j-tickets/42509?language=en-us,en-us,2025-01-18,21:00:00,Europe/Madrid,onsale,Z598xZ2qZe6d7,Palau Sant Jordi,Barcelona,Barcelona,Spain,"Passeig Olímpic, 5-7",08038,41.36337,2.15259,Music,Rock,Pop
Z698xZ2qZa1b6,Milo J,event,https://www.ticketmaster.es/event/milo-j-tickets/42503?language=en-us,en-us,2025-01-19,21:00:00,Europe/Madrid,onsale,Z198xZ2qZkek,WiZink Center,Madrid,Madrid,Spain,"Av. Felipe II, s/n",28009,40.42394,-3.6758,Music,Rock,Pop
Z698xZ2qZa16q,Spencer Sutherland | Paquetes VIP,event,https://www.ticketmaster.es/event/spencer-sutherland-%7C-paquetes-vip-tickets/41437?language=en-us,en-us,2025-01-26,21:00:00,Europe/Madrid,onsale,Z198xZ2qZa67,Moby Dick Club,Madrid,Madrid,Spain,"Av. de Brasil, 5",28020,40.45449,-3.69404,Music,Rock,Pop
Z698xZ2qZa1kS,Spencer Sutherland,event,https://www.ticketmaster.es/event/spencer-sutherland-tickets/41395?language=en-us,en-us,2025-01-26,21:00:00,Europe/Madrid,onsale,Z198xZ2qZa67,Moby Dick Club,Madrid,Madrid,Spain,"Av. de Brasil, 5",28020,40.45449,-3.69404,Music,Rock,Pop
Z698xZ2qZaa0o,Katherine Ryan - Battleaxe,event,https://www.ticketmaster.es/event/katherine-ryan-battleaxe-tickets/39185?language=en-us,en-us,2025-02-10,22:00:00,Europe/Madrid,rescheduled,Z598xZ2qZ67A1,Teatro Pavón,Madrid,Madrid,Spain,"C. de Embajadores, 9",28012,40.41003,-3.70616,Arts & Theatre,Comedy,Comedy
Z698xZ2qZa1_S,Polo & Pan European Tour 2025,event,https://www.ticketmaster.es/event/polo--pan-european-tour-2025-tickets/42611?language=en-us,en-us,2025-02-11,21:00:00,Europe/Madrid,onsale,Z198xZ2qZAde,La Riviera,Madrid,Madrid,Spain,"Paseo Bajo de la Virgen del Puerto, s/n",28005,40.413,-3.72215,Music,Dance/Electronic,Dance/Electronic
Z698xZ2qZaaTN,Slimane - WORLD TOUR,event,https://www.ticketmaster.es/event/slimane-world-tour-tickets/40931?language=en-us,en-us,2025-02-11,20:30:00,Europe/Madrid,onsale,Z598xZ2qZ77dF,Paral·lel 62,Barcelona,Barcelona,Spain,"Av. del Paral.lel, 62",08001,41.3751,2.16973,Music,Rock,Pop
Z698xZ2qZa1_s,Polo & Pan European Tour 2025,event,https://www.ticketmaster.es/event/polo--pan-european-tour-2025-tickets/42609?language=en-us,en-us,2025-02-12,20:30:00,Europe/Madrid,onsale,Z198xZ2qZkeF,Sala Razzmatazz 1,Barcelona,Barcelona,Spain,"C. Almogàvers, 122",08018,41.39772,2.19111,Music,Dance/Electronic,Dance/Electronic
Z698xZ2qZ1kpfCopb,Omar Rudberg - Every Night Fantasy Tour,event,https://www.ticketmaster.es/event/omar-rudberg-every-night-fantasy-tour-tickets/594391598?language=en-us,en-us,2025-02-15,21:00:00,Europe/Madrid,onsale,Z198xZ2qZk7k,Sala Changó,Madrid,Madrid,Spain,"Calle de Covarrubias, 42",28010,40.43176,-3.6982,Music,Other,Other
Z698xZ2qZa1dt,LA CENDEJAS - TSUNAMI TOUR,event,https://www.ticketmaster.es/event/la-cendejas-tsunami-tour-tickets/41193?language=en-us,en-us,2025-02-15,21:00:00,Europe/Madrid,onsale,Z598xZ2qZ61Ak,Sala La 2,Sevilla,Seville,Spain,"C/ José Díaz, 6",41009,37.40847,-5.99017,Music,Rock,Pop
Z698xZ2qZa1f2,Franz Ferdinand,event,https://www.ticketmaster.es/event/franz-ferdinand-tickets/42255?language=en-us,en-us,2025-02-15,21:00:00,Europe/Madrid,onsale,Z598xZ2qZe6vk,Sala Pelicano,A Coruña,La Corunna,Spain,"Av. do Porto, 3",15003,43.36501,-8.40558,Music,Rock,Pop
Z698xZ2qZ16vC6v4AK,Omar Rudberg - Every Night Fantasy Tour,event,https://www.ticketmaster.es/event/omar-rudberg-every-night-fantasy-tour-tickets/1387055153?language=en-us,en-us,2025-02-16,20:30:00,Europe/Madrid,onsale,Z198xZ2qZd6k,Sala Razzmatazz 2,Barcelona,Barcelona,Spain,"Carrer de Pamplona, 88",08018,41.39701,2.19147,Music,Other,Other
Z698xZ2qZ1k1aaPb6,Kikuo - KIKUOLAND GO-ROUND tour,event,https://www.ticketmaster.es/event/kikuo-kikuoland-go-round-tour-tickets/289265607?language=en-us,en-us,2025-02-17,20:30:00,Europe/Madrid,onsale,Z198xZ2qZAA7,Sala But,Madrid,Madrid,Spain,"C. de Barceló, 11",28004,40.42703,-3.69969,Music,Rock,Pop
Z698xZ2qZa1fo,Franz Ferdinand,event,https://www.ticketmaster.es/event/franz-ferdinand-tickets/42257?language=en-us,en-us,2025-02-17,21:00:00,Europe/Madrid,onsale,Z198xZ2qZAde,La Riviera,Madrid,Madrid,Spain,"Paseo Bajo de la Virgen del Puerto, s/n",28005,40.413,-3.72215,Music,Rock,Pop
Z698xZ2qZa1fK,Franz Ferdinand,event,https://www.ticketmaster.es/event/franz-ferdinand-tickets/42259?language=en-us,en-us,2025-02-18,21:00:00,Europe/Madrid,onsale,Z198xZ2qZkeF,Sala Razzmatazz 1,Barcelona,Barcelona,Spain,"C. Almogàvers, 122",08018,41.39772,2.19111,Music,Rock,Pop
Z698xZ2qZa1q-,Matt Hansen,event,https://www.ticketmaster.es/event/matt-hansen-tickets/42849?language=en-us,en-us,2025-02-20,21:00:00,Europe/Madrid,onsale,Z598xZ2qZFd7k,Sala Villanos,Madrid,Madrid,Spain,"C. de Bernardino Obregón, 18",28012,40.40397,-3.78242,Music,Rock,Pop
Z698xZ2qZa1jL,LA CENDEJAS - TSUNAMI TOUR,event,https://www.ticketmaster.es/event/la-cendejas-tsunami-tour-tickets/42783?language=en-us,en-us,2025-02-21,21:00:00,Europe/Madrid,onsale,Z598xZ2qZeF6k,Garufa Club,A Coruña,La Corunna,Spain,"Rúa Riazor, 5",15004,43.36745,-8.41056,Music,Hip-Hop/Rap,Hip-Hop/Rap
Z698xZ2qZa1dl,LA CENDEJAS - TSUNAMI TOUR,event,https://www.ticketmaster.es/event/la-cendejas-tsunami-tour-tickets/41195?language=en-us,en-us,2025-02-22,21:00:00,Europe/Madrid,onsale,Z198xZ2qZ6eF,Sala Azkena,Bilbao,Biscay,Spain,"Ibáñez de Bilbao Kalea, 26",48009,43.26368,-2.92993,Music,Rock,Pop
Z698xZ2qZ16vQvr4Op,Rels B - A New Star World Tour 2025 | VIP Packages,event,https://www.ticketmaster.es/event/rels-b-a-new-star-world-tour-2025-%7C-vip-packages-tickets/1681795816?language=en-us,en-us,2025-03-01,21:00:00,Europe/Madrid,offsale,Z198xZ2qZkek,WiZink Center,Madrid,Madrid,Spain,"Av. Felipe II, s/n",28009,40.42394,-3.6758,Music,Rock,Pop
Z698xZ2qZ16vo77Sb4,Rels B - A New Star World Tour 2025,event,https://www.ticketmaster.es/event/rels-b-a-new-star-world-tour-2025-tickets/1444133615?language=en-us,en-us,2025-03-01,21:00:00,Europe/Madrid,offsale,Z198xZ2qZkek,WiZink Center,Madrid,Madrid,Spain,"Av. Felipe II, s/n",28009,40.42394,-3.6758,Music,Rock,Pop
Z698xZ2qZa1_v,almost monday – the DIVE tour | Paquetes VIP,event,https://www.ticketmaster.es/event/almost-monday--the-dive-tour-%7C-paquetes-vip-tickets/42561?language=en-us,en-us,2025-03-01,21:00:00,Europe/Madrid,onsale,Z598xZ2qZFd7k,Sala Villanos,Madrid,Madrid,Spain,"C. de Bernardino Obregón, 18",28012,40.40397,-3.78242,Music,Alternative,Alternative Rock
Z698xZ2qZa1bW,almost monday – the DIVE tour,event,https://www.ticketmaster.es/event/almost-monday--the-dive-tour-tickets/42557?language=en-us,en-us,2025-03-01,21:00:00,Europe/Madrid,onsale,Z598xZ2qZFd7k,Sala Villanos,Madrid,Madrid,Spain,"C. de Bernardino Obregón, 18",28012,40.40397,-3.78242,Music,Alternative,Alternative Rock
Z698xZ2qZa1d-,LA CENDEJAS - TSUNAMI TOUR,event,https://www.ticketmaster.es/event/la-cendejas-tsunami-tour-tickets/41185?language=en-us,en-us,2025-03-01,21:00:00,Europe/Madrid,onsale,Z198xZ2qZ77F,Teatro Barceló,Madrid,Madrid,Spain,"Calle Barceló, 11",28004,40.42684,-3.7,Music,Rock,Pop
Z698xZ2qZ1kO_uzkA,Rels B - A New Star World Tour 2025,event,https://www.ticketmaster.es/event/rels-b-a-new-star-world-tour-2025-tickets/819378185?language=en-us,en-us,2025-03-02,21:00:00,Europe/Madrid,onsale,Z198xZ2qZkek,WiZink Center,Madrid,Madrid,Spain,"Av. Felipe II, s/n",28009,40.42394,-3.6758,Music,Rock,Pop
Z698xZ2qZ1koP3v1f,Rels B - A New Star World Tour 2025 | VIP Packages,event,https://www.ticketmaster.es/event/rels-b-a-new-star-world-tour-2025-%7C-vip-packages-tickets/465481294?language=en-us,en-us,2025-03-02,21:00:00,Europe/Madrid,onsale,Z198xZ2qZkek,WiZink Center,Madrid,Madrid,Spain,"Av. Felipe II, s/n",28009,40.42394,-3.6758,Music,Rock,Pop
Z698xZ2qZa19l,Lawrence ? The Family Business Tour Part 2,event,https://www.ticketmaster.es/event/lawrence-the-family-business-tour-part-2-tickets/42475?language=en-us,en-us,2025-03-02,21:00:00,Europe/Madrid,onsale,Z198xZ2qZAA7,Sala But,Madrid,Madrid,Spain,"C. de Barceló, 11",28004,40.42703,-3.69969,Music,Rock,Pop
Z698xZ2qZa1bD,almost monday – the DIVE tour,event,https://www.ticketmaster.es/event/almost-monday--the-dive-tour-tickets/42555?language=en-us,en-us,2025-03-02,20:30:00,Europe/Madrid,onsale,Z598xZ2qZdvF1,Sala Razzmatazz 3,Barcelona,Barcelona,Spain,"Carrer de Pamplona, 88",08018,41.39701,2.19147,Music,Alternative,Alternative Rock
Z698xZ2qZa1bT,almost monday – the DIVE tour | Paquetes VIP,event,https://www.ticketmaster.es/event/almost-monday--the-dive-tour-%7C-paquetes-vip-tickets/42559?language=en-us,en-us,2025-03-02,20:30:00,Europe/Madrid,onsale,Z598xZ2qZdvF1,Sala Razzmatazz 3,Barcelona,Barcelona,Spain,"Carrer de Pamplona, 88",08018,41.39701,2.19147,Music,Alternative,Alternative Rock
Z698xZ2qZa18s,Alec Benjamin - 12 Notes Tour,event,https://www.ticketmaster.es/event/alec-benjamin-12-notes-tour-tickets/42033?language=en-us,en-us,2025-03-05,20:30:00,Europe/Madrid,onsale,Z198xZ2qZkeF,Sala Razzmatazz 1,Barcelona,Barcelona,Spain,"C. Almogàvers, 122",08018,41.39772,2.19111,Music,Rock,Pop
Z698xZ2qZa18g,Alec Benjamin - 12 Notes Tour,event,https://www.ticketmaster.es/event/alec-benjamin-12-notes-tour-tickets/42037?language=en-us,en-us,2025-03-06,21:00:00,Europe/Madrid,onsale,Z198xZ2qZAde,La Riviera,Madrid,Madrid,Spain,"Paseo Bajo de la Virgen del Puerto, s/n",28005,40.413,-3.72215,Music,Rock,Pop
Z698xZ2qZa1k5,Alan Walker,event,https://www.ticketmaster.es/event/alan-walker-tickets/41355?language=en-us,en-us,2025-03-06,20:30:00,Europe/Madrid,onsale,Z198xZ2qZkeF,Sala Razzmatazz 1,Barcelona,Barcelona,Spain,"C. Almogàvers, 122",08018,41.39772,2.19111,Music,Dance/Electronic,Dance/Electronic
Z698xZ2qZ16vPvZUvv,Rels B - A New Star World Tour 2025,event,https://www.ticketmaster.es/event/rels-b-a-new-star-world-tour-2025-tickets/1941036041?language=en-us,en-us,2025-03-07,21:00:00,Europe/Madrid,onsale,Z598xZ2qZe6d7,Palau Sant Jordi,Barcelona,Barcelona,Spain,"Passeig Olímpic, 5-7",08038,41.36337,2.15259,Music,Rock,Pop
Z698xZ2qZ16vrA_obJ,Rels B - A New Star World Tour 2025 | VIP Packages,event,https://www.ticketmaster.es/event/rels-b-a-new-star-world-tour-2025-%7C-vip-packages-tickets/1785651626?language=en-us,en-us,2025-03-07,21:00:00,Europe/Madrid,onsale,Z598xZ2qZe6d7,Palau Sant Jordi,Barcelona,Barcelona,Spain,"Passeig Olímpic, 5-7",08038,41.36337,2.15259,Music,Rock,Pop
Z698xZ2qZ16v8dadag,Rels B - A New Star World Tour 2025,event,https://www.ticketmaster.es/event/rels-b-a-new-star-world-tour-2025-tickets/1403243275?language=en-us,en-us,2025-03-08,21:00:00,Europe/Madrid,offsale,Z598xZ2qZe6d7,Palau Sant Jordi,Barcelona,Barcelona,Spain,"Passeig Olímpic, 5-7",08038,41.36337,2.15259,Music,Rock,Pop
Z698xZ2qZ16voUZ_ea,Rels B - A New Star World Tour 2025 | VIP Packages,event,https://www.ticketmaster.es/event/rels-b-a-new-star-world-tour-2025-%7C-vip-packages-tickets/1476019089?language=en-us,en-us,2025-03-08,21:00:00,Europe/Madrid,offsale,Z598xZ2qZe6d7,Palau Sant Jordi,Barcelona,Barcelona,Spain,"Passeig Olímpic, 5-7",08038,41.36337,2.15259,Music,Rock,Pop
Z698xZ2qZa14W,2024-25 aespa LIVE TOUR - SYNK : PARALLEL LINE – in MADRID,event,https://www.ticketmaster.es/event/2024-25-aespa-live-tour-synk--parallel-line--in-madrid-tickets/42365?language=en-us,en-us,2025-03-12,20:00:00,Europe/Madrid,onsale,Z198xZ2qZkek,WiZink Center,Madrid,Madrid,Spain,"Av. Felipe II, s/n",28009,40.42394,-3.6758,Music,Rock,Pop
Z698xZ2qZa162,Anastacia - #NTK25 Tour | Paquetes VIP,event,https://www.ticketmaster.es/event/anastacia-ntk25-tour-%7C-paquetes-vip-tickets/41423?language=en-us,en-us,2025-03-12,21:00:00,Europe/Madrid,onsale,Z598xZ2qZ77dF,Paral·lel 62,Barcelona,Barcelona,Spain,"Av. del Paral.lel, 62",08001,41.3751,2.16973,Music,Rock,Pop
Z698xZ2qZa166,Anastacia - #NTK25 Tour,event,https://www.ticketmaster.es/event/anastacia-ntk25-tour-tickets/41415?language=en-us,en-us,2025-03-12,21:00:00,Europe/Madrid,onsale,Z598xZ2qZ77dF,Paral·lel 62,Barcelona,Barcelona,Spain,"Av. del Paral.lel, 62",08001,41.3751,2.16973,Music,Rock,Pop
Z698xZ2qZa19A,2024-25 aespa LIVE TOUR - SYNK : PARALLEL LINE – in MADRID | VIP,event,https://www.ticketmaster.es/event/2024-25-aespa-live-tour-synk--parallel-line--in-madrid-%7C-vip-tickets/42437?language=en-us,en-us,2025-03-12,20:00:00,Europe/Madrid,onsale,Z198xZ2qZkek,WiZink Center,Madrid,Madrid,Spain,"Av. Felipe II, s/n",28009,40.42394,-3.6758,Music,Rock,Pop
Z698xZ2qZa16a,Anastacia - #NTK25 Tour,event,https://www.ticketmaster.es/event/anastacia-ntk25-tour-tickets/41417?language=en-us,en-us,2025-03-13,21:00:00,Europe/Madrid,onsale,Z598xZ2qZ77dF,Paral·lel 62,Barcelona,Barcelona,Spain,"Av. del Paral.lel, 62",08001,41.3751,2.16973,Music,Rock,Pop
Z698xZ2qZa16o,Anastacia - #NTK25 Tour | Paquetes VIP,event,https://www.ticketmaster.es/event/anastacia-ntk25-tour-%7C-paquetes-vip-tickets/41425?language=en-us,en-us,2025-03-13,21:00:00,Europe/Madrid,onsale,Z598xZ2qZ77dF,Paral·lel 62,Barcelona,Barcelona,Spain,"Av. del Paral.lel, 62",08001,41.3751,2.16973,Music,Rock,Pop
Z698xZ2qZa16K,Anastacia - #NTK25 Tour | Paquetes VIP,event,https://www.ticketmaster.es/event/anastacia-ntk25-tour-%7C-paquetes-vip-tickets/41427?language=en-us,en-us,2025-03-15,21:00:00,Europe/Madrid,onsale,Z598xZ2qZdF7k,Palacio Municipal - IFEMA MADRID,Madrid,Madrid,Spain,"Av. de la Capital de España Madrid, nº7",28042,40.46218,-3.61687,Music,Rock,Pop
Z698xZ2qZa16d,Anastacia - #NTK25 Tour,event,https://www.ticketmaster.es/event/anastacia-ntk25-tour-tickets/41411?language=en-us,en-us,2025-03-15,21:00:00,Europe/Madrid,onsale,Z598xZ2qZdF7k,Palacio Municipal - IFEMA MADRID,Madrid,Madrid,Spain,"Av. de la Capital de España Madrid, nº7",28042,40.46218,-3.61687,Music,Rock,Pop
Z698xZ2qZa17M,Nemo - «Break The Code» Europe Tour 2025,event,https://www.ticketmaster.es/event/nemo-break-the-code-europe-tour-2025-tickets/41271?language=en-us,en-us,2025-03-19,21:00:00,Europe/Madrid,postponed,Z198xZ2qZAA7,Sala But,Madrid,Madrid,Spain,"C. de Barceló, 11",28004,40.42703,-3.69969,Music,Rock,Pop
Z698xZ2qZa17R,Nemo - «Break The Code» Europe Tour 2025,event,https://www.ticketmaster.es/event/nemo-break-the-code-europe-tour-2025-tickets/41263?language=en-us,en-us,2025-03-20,20:30:00,Europe/Madrid,postponed,Z198xZ2qZd6k,Sala Razzmatazz 2,Barcelona,Barcelona,Spain,"Carrer de Pamplona, 88",08018,41.39701,2.19147,Music,Rock,Pop
Z698xZ2qZa1pN,Cirque du Soleil: Corteo,event,https://www.ticketmaster.es/event/cirque-du-soleil-corteo-tickets/42403?language=en-us,en-us,2025-03-27,20:30:00,Europe/Madrid,onsale,Z598xZ2qZe6d7,Palau Sant Jordi,Barcelona,Barcelona,Spain,"Passeig Olímpic, 5-7",08038,41.36337,2.15259,Miscellaneous,Family,Other
