artist_id,name,type,locale,external_links
K8vZ917QtDV,Morgan Jay,attraction,en-us,{}
K8vZ917QtDV,Morgan Jay,attraction,en-us,{}
K8vZ917QtDV,Morgan Jay,attraction,en-us,{}
K8vZ917QtDV,Morgan Jay,attraction,en-us,{}
K8vZ917j6x0,Ado,attraction,en-us,{}
K8vZ917Q0hV,Maya Hawke,attraction,en-us,{}
K8vZ91713gf,Weezer,attraction,en-us,"{'youtube': [{'url': 'https://www.youtube.com/user/weezer'}], 'twitter': [{'url': 'https://twitter.com/Weezer'}], 'itunes': [{'url': 'https://itunes.apple.com/artist/id115234'}], 'lastfm': [{'url': 'http://www.last.fm/music/Weezer'}], 'spotify': [{'url': 'https://open.spotify.com/artist/3jOstUTkEu2JkjvRdBA5Gu'}], 'wiki': [{'url': 'https://en.wikipedia.org/wiki/Weezer'}], 'facebook': [{'url': 'https://www.facebook.com/weezer'}], 'instagram': [{'url': 'https://www.instagram.com/weezer/'}], 'musicbrainz': [{'id': '6fe07aa5-fec0-4eca-a456-f29bff451b04', 'url': 'https://musicbrainz.org/artist/6fe07aa5-fec0-4eca-a456-f29bff451b04'}], 'homepage': [{'url': 'http://www.weezer.com/'}]}"
K8vZ9171K37,Alanis Morissette,attraction,en-us,"{'youtube': [{'url': 'https://www.youtube.com/channel/UCrTC0tOY5aujQFYDRf65xiw'}], 'twitter': [{'url': 'https://twitter.com/Alanis'}], 'itunes': [{'url': 'https://itunes.apple.com/artist/id1092859'}], 'lastfm': [{'url': 'http://www.last.fm/music/Alanis+Morissette'}], 'spotify': [{'url': 'https://open.spotify.com/artist/6ogn9necmbUdCppmNnGOdi'}], 'wiki': [{'url': 'https://en.wikipedia.org/wiki/Alanis_Morissette'}], 'facebook': [{'url': 'https://www.facebook.com/alanismorissette'}], 'musicbrainz': [{'id': '4bdcee62-4902-4773-8cd1-e252e2e31225', 'url': 'https://musicbrainz.org/artist/4bdcee62-4902-4773-8cd1-e252e2e31225'}], 'instagram': [{'url': 'https://www.instagram.com/alanis/'}], 'homepage': [{'url': 'http://alanis.com/'}]}"
K8vZ9179Vpf,Stray Kids,attraction,en-us,"{'youtube': [{'url': 'https://www.youtube.com/c/StrayKids'}], 'twitter': [{'url': 'https://twitter.com/Stray_Kids'}], 'itunes': [{'url': 'https://music.apple.com/us/artist/stray-kids/1304823362'}], 'tiktok': [{'url': 'https://www.tiktok.com/@jypestraykids'}], 'facebook': [{'url': 'https://www.facebook.com/JYPEStrayKids'}], 'spotify': [{'url': 'https://open.spotify.com/artist/2dIgFjalVxs4ThymZ67YCE?autoplay=true'}], 'instagram': [{'url': 'https://www.instagram.com/realstraykids/'}], 'homepage': [{'url': 'https://straykids.jype.com/'}]}"
K8vZ9179Vpf,Stray Kids,attraction,en-us,"{'youtube': [{'url': 'https://www.youtube.com/c/StrayKids'}], 'twitter': [{'url': 'https://twitter.com/Stray_Kids'}], 'itunes': [{'url': 'https://music.apple.com/us/artist/stray-kids/1304823362'}], 'tiktok': [{'url': 'https://www.tiktok.com/@jypestraykids'}], 'facebook': [{'url': 'https://www.facebook.com/JYPEStrayKids'}], 'spotify': [{'url': 'https://open.spotify.com/artist/2dIgFjalVxs4ThymZ67YCE?autoplay=true'}], 'instagram': [{'url': 'https://www.instagram.com/realstraykids/'}], 'homepage': [{'url': 'https://straykids.jype.com/'}]}"
K8vZ91715SV,Lionel Richie,attraction,en-us,"{'youtube': [{'url': 'https://www.youtube.com/user/LionelRichieVEVO'}], 'twitter': [{'url': 'https://twitter.com/lionelrichie'}], 'itunes': [{'url': 'https://itunes.apple.com/artist/id48397'}], 'lastfm': [{'url': 'http://www.last.fm/music/Lionel+Richie'}], 'spotify': [{'url': 'https://open.spotify.com/artist/3gMaNLQm7D9MornNILzdSl?autoplay=true'}], 'wiki': [{'url': 'https://en.wikipedia.org/wiki/Lionel_Richie'}], 'facebook': [{'url': 'https://www.facebook.com/LionelRichie'}], 'instagram': [{'url': 'https://www.instagram.com/lionelrichie/'}], 'musicbrainz': [{'id': '3cb25fb2-5547-4b05-adec-1a5e37830d46', 'url': 'https://musicbrainz.org/artist/3cb25fb2-5547-4b05-adec-1a5e37830d46'}], 'homepage': [{'url': 'http://lionelrichie.com/'}]}"
K8vZ91715SV,Lionel Richie,attraction,en-us,"{'youtube': [{'url': 'https://www.youtube.com/user/LionelRichieVEVO'}], 'twitter': [{'url': 'https://twitter.com/lionelrichie'}], 'itunes': [{'url': 'https://itunes.apple.com/artist/id48397'}], 'lastfm': [{'url': 'http://www.last.fm/music/Lionel+Richie'}], 'spotify': [{'url': 'https://open.spotify.com/artist/3gMaNLQm7D9MornNILzdSl?autoplay=true'}], 'wiki': [{'url': 'https://en.wikipedia.org/wiki/Lionel_Richie'}], 'facebook': [{'url': 'https://www.facebook.com/LionelRichie'}], 'instagram': [{'url': 'https://www.instagram.com/lionelrichie/'}], 'musicbrainz': [{'id': '3cb25fb2-5547-4b05-adec-1a5e37830d46', 'url': 'https://musicbrainz.org/artist/3cb25fb2-5547-4b05-adec-1a5e37830d46'}], 'homepage': [{'url': 'http://lionelrichie.com/'}]}"
K8vZ91715SV,Lionel Richie,attraction,en-us,"{'youtube': [{'url': 'https://www.youtube.com/user/LionelRichieVEVO'}], 'twitter': [{'url': 'https://twitter.com/lionelrichie'}], 'itunes': [{'url': 'https://itunes.apple.com/artist/id48397'}], 'lastfm': [{'url': 'http://www.last.fm/music/Lionel+Richie'}], 'spotify': [{'url': 'https://open.spotify.com/artist/3gMaNLQm7D9MornNILzdSl?autoplay=true'}], 'wiki': [{'url': 'https://en.wikipedia.org/wiki/Lionel_Richie'}], 'facebook': [{'url': 'https://www.facebook.com/LionelRichie'}], 'instagram': [{'url': 'https://www.instagram.com/lionelrichie/'}], 'musicbrainz': [{'id': '3cb25fb2-5547-4b05-adec-1a5e37830d46', 'url': 'https://musicbrainz.org/artist/3cb25fb2-5547-4b05-adec-1a5e37830d46'}], 'homepage': [{'url': 'http://lionelrichie.com/'}]}"
K8vZ91715SV,Lionel Richie,attraction,en-us,"{'youtube': [{'url': 'https://www.youtube.com/user/LionelRichieVEVO'}], 'twitter': [{'url': 'https://twitter.com/lionelrichie'}], 'itunes': [{'url': 'https://itunes.apple.com/artist/id48397'}], 'lastfm': [{'url': 'http://www.last.fm/music/Lionel+Richie'}], 'spotify': [{'url': 'https://open.spotify.com/artist/3gMaNLQm7D9MornNILzdSl?autoplay=true'}], 'wiki': [{'url': 'https://en.wikipedia.org/wiki/Lionel_Richie'}], 'facebook': [{'url': 'https://www.facebook.com/LionelRichie'}], 'instagram': [{'url': 'https://www.instagram.com/lionelrichie/'}], 'musicbrainz': [{'id': '3cb25fb2-5547-4b05-adec-1a5e37830d46', 'url': 'https://musicbrainz.org/artist/3cb25fb2-5547-4b05-adec-1a5e37830d46'}], 'homepage': [{'url': 'http://lionelrichie.com/'}]}"
K8vZ917bvf7,Duki,attraction,en-us,"{'youtube': [{'url': 'https://www.youtube.com/channel/UCJUYcEdvnYFGajHBW0Nao3w'}], 'twitter': [{'url': 'https://twitter.com/DukiSSJ'}], 'itunes': [{'url': 'https://music.apple.com/ca/artist/duki/408527217'}], 'spotify': [{'url': 'https://open.spotify.com/artist/1bAftSH8umNcGZ0uyV7LMg?autoplay=true'}], 'instagram': [{'url': 'https://www.instagram.com/dukissj/'}]}"
K8vZ917bvf7,Duki,attraction,en-us,"{'youtube': [{'url': 'https://www.youtube.com/channel/UCJUYcEdvnYFGajHBW0Nao3w'}], 'twitter': [{'url': 'https://twitter.com/DukiSSJ'}], 'itunes': [{'url': 'https://music.apple.com/ca/artist/duki/408527217'}], 'spotify': [{'url': 'https://open.spotify.com/artist/1bAftSH8umNcGZ0uyV7LMg?autoplay=true'}], 'instagram': [{'url': 'https://www.instagram.com/dukissj/'}]}"
K8vZ917bvf7,Duki,attraction,en-us,"{'youtube': [{'url': 'https://www.youtube.com/channel/UCJUYcEdvnYFGajHBW0Nao3w'}], 'twitter': [{'url': 'https://twitter.com/DukiSSJ'}], 'itunes': [{'url': 'https://music.apple.com/ca/artist/duki/408527217'}], 'spotify': [{'url': 'https://open.spotify.com/artist/1bAftSH8umNcGZ0uyV7LMg?autoplay=true'}], 'instagram': [{'url': 'https://www.instagram.com/dukissj/'}]}"
K8vZ917bvf7,Duki,attraction,en-us,"{'youtube': [{'url': 'https://www.youtube.com/channel/UCJUYcEdvnYFGajHBW0Nao3w'}], 'twitter': [{'url': 'https://twitter.com/DukiSSJ'}], 'itunes': [{'url': 'https://music.apple.com/ca/artist/duki/408527217'}], 'spotify': [{'url': 'https://open.spotify.com/artist/1bAftSH8umNcGZ0uyV7LMg?autoplay=true'}], 'instagram': [{'url': 'https://www.instagram.com/dukissj/'}]}"
K8vZ917bvf7,Duki,attraction,en-us,"{'youtube': [{'url': 'https://www.youtube.com/channel/UCJUYcEdvnYFGajHBW0Nao3w'}], 'twitter': [{'url': 'https://twitter.com/DukiSSJ'}], 'itunes': [{'url': 'https://music.apple.com/ca/artist/duki/408527217'}], 'spotify': [{'url': 'https://open.spotify.com/artist/1bAftSH8umNcGZ0uyV7LMg?autoplay=true'}], 'instagram': [{'url': 'https://www.instagram.com/dukissj/'}]}"
K8vZ9171hN7,Jamiroquai,attraction,en-us,"{'youtube': [{'url': 'https://www.youtube.com/user/jamiroquaivideo'}], 'twitter': [{'url': 'https://twitter.com/JamiroquaiHQ'}], 'itunes': [{'url': 'https://music.apple.com/us/artist/jamiroquai/475902'}], 'lastfm': [{'url': 'http://www.last.fm/music/Jamiroquai'}], 'spotify': [{'url': 'https://open.spotify.com/artist/6J7biCazzYhU3gM9j1wfid'}], 'wiki': [{'url': 'https://en.wikipedia.org/wiki/Jamiroquai'}], 'facebook': [{'url': 'https://www.facebook.com/JamiroquaiOfficial'}], 'instagram': [{'url': 'https://www.instagram.com/jamiroquaihq/'}], 'musicbrainz': [{'id': 'f4857fb9-e255-4dc6-bd01-e4ca7cc68544', 'url': 'https://musicbrainz.org/artist/f4857fb9-e255-4dc6-bd01-e4ca7cc68544'}], 'homepage': [{'url': 'https://www.jamiroquai.com'}]}"
K8vZ9171hN7,Jamiroquai,attraction,en-us,"{'youtube': [{'url': 'https://www.youtube.com/user/jamiroquaivideo'}], 'twitter': [{'url': 'https://twitter.com/JamiroquaiHQ'}], 'itunes': [{'url': 'https://music.apple.com/us/artist/jamiroquai/475902'}], 'lastfm': [{'url': 'http://www.last.fm/music/Jamiroquai'}], 'spotify': [{'url': 'https://open.spotify.com/artist/6J7biCazzYhU3gM9j1wfid'}], 'wiki': [{'url': 'https://en.wikipedia.org/wiki/Jamiroquai'}], 'facebook': [{'url': 'https://www.facebook.com/JamiroquaiOfficial'}], 'instagram': [{'url': 'https://www.instagram.com/jamiroquaihq/'}], 'musicbrainz': [{'id': 'f4857fb9-e255-4dc6-bd01-e4ca7cc68544', 'url': 'https://musicbrainz.org/artist/f4857fb9-e255-4dc6-bd01-e4ca7cc68544'}], 'homepage': [{'url': 'https://www.jamiroquai.com'}]}"
K8vZ917Gah0,OneRepublic,attraction,en-us,"{'youtube': [{'url': 'https://www.youtube.com/user/OneRepublicVEVO'}], 'twitter': [{'url': 'https://twitter.com/OneRepublic'}], 'itunes': [{'url': 'https://music.apple.com/us/artist/onerepublic/260414340'}], 'lastfm': [{'url': 'http://www.last.fm/music/OneRepublic'}], 'spotify': [{'url': 'https://open.spotify.com/artist/5Pwc4xIPtQLFEnJriah9YJ?autoplay=true'}], 'wiki': [{'url': 'https://en.wikipedia.org/wiki/OneRepublic'}], 'facebook': [{'url': 'https://www.facebook.com/OneRepublic'}], 'musicbrainz': [{'id': 'c33c2065-b1c3-4406-b066-d33a9e2ea71a', 'url': 'https://musicbrainz.org/artist/c33c2065-b1c3-4406-b066-d33a9e2ea71a'}], 'instagram': [{'url': 'http://instagram.com/onerepublic'}], 'homepage': [{'url': 'https://onerepublic.com/'}]}"
K8vZ917Gah0,OneRepublic,attraction,en-us,"{'youtube': [{'url': 'https://www.youtube.com/user/OneRepublicVEVO'}], 'twitter': [{'url': 'https://twitter.com/OneRepublic'}], 'itunes': [{'url': 'https://music.apple.com/us/artist/onerepublic/260414340'}], 'lastfm': [{'url': 'http://www.last.fm/music/OneRepublic'}], 'spotify': [{'url': 'https://open.spotify.com/artist/5Pwc4xIPtQLFEnJriah9YJ?autoplay=true'}], 'wiki': [{'url': 'https://en.wikipedia.org/wiki/OneRepublic'}], 'facebook': [{'url': 'https://www.facebook.com/OneRepublic'}], 'musicbrainz': [{'id': 'c33c2065-b1c3-4406-b066-d33a9e2ea71a', 'url': 'https://musicbrainz.org/artist/c33c2065-b1c3-4406-b066-d33a9e2ea71a'}], 'instagram': [{'url': 'http://instagram.com/onerepublic'}], 'homepage': [{'url': 'https://onerepublic.com/'}]}"
