event_id,type,currency,min_price,max_price
Z698xZ2qZa1pl,standard,EUR,26.5,220.0
Z698xZ2qZa1pc,standard including fees,EUR,30.0,249.5
Z698xZ2qZa1pc,standard,EUR,26.5,220.0
Z698xZ2qZa1jg,standard,EUR,37.0,42.0
Z698xZ2qZa1jg,standard including fees,EUR,42.0,47.5
Z698xZ2qZa1pS,standard,EUR,30.0,235.0
Z698xZ2qZa1pS,standard including fees,EUR,0.0,266.5
Z698xZ2qZa1ps,standard,EUR,35.0,235.0
Z698xZ2qZa1ps,standard including fees,EUR,39.5,266.5
Z698xZ2qZa1AR,standard including fees,EUR,36.5,36.5
Z698xZ2qZa1AR,standard,EUR,32.0,32.0
Z698xZ2qZa1h4,standard including fees,EUR,51.0,238.0
Z698xZ2qZa1h4,standard,EUR,45.0,210.0
Z698xZ2qZa1jP,standard,EUR,220.0,355.0
Z698xZ2qZa1jP,standard including fees,EUR,249.5,402.5
Z698xZ2qZa1pg,standard,EUR,30.0,235.0
Z698xZ2qZa1pg,standard including fees,EUR,0.0,267.5
Z698xZ2qZa1As,standard including fees,EUR,28.5,28.5
Z698xZ2qZa1As,standard,EUR,25.0,25.0
Z698xZ2qZa19L,standard,EUR,106.0,106.0
Z698xZ2qZa19L,standard including fees,EUR,120.0,120.0
Z698xZ2qZa19q,standard,EUR,38.0,38.0
Z698xZ2qZa19q,standard including fees,EUR,43.0,43.0
Z698xZ2qZa1hK,standard,EUR,70.0,210.0
Z698xZ2qZa1hK,standard including fees,EUR,79.5,238.0
Z698xZ2qZa1jt,standard,EUR,220.0,355.0
Z698xZ2qZa1jt,standard including fees,EUR,249.5,402.5
Z698xZ2qZa19N,standard,EUR,32.0,80.0
Z698xZ2qZa19N,standard including fees,EUR,36.5,90.5
Z698xZ2qZa19P,standard,EUR,100.0,106.0
Z698xZ2qZa19P,standard including fees,EUR,113.5,120.0
Z698xZ2qZa1bN,standard including fees,EUR,36.8,43.0
Z698xZ2qZa1bN,standard,EUR,32.3,38.0
Z698xZ2qZa1bc,standard,EUR,53.0,53.0
Z698xZ2qZa1bc,standard including fees,EUR,60.0,60.0
Z698xZ2qZa1h2,standard,EUR,65.0,190.0
Z698xZ2qZa1h2,standard including fees,EUR,73.5,215.5
Z698xZ2qZa1jD,standard,EUR,35.0,37.0
Z698xZ2qZa1jD,standard including fees,EUR,39.5,42.0
Z698xZ2qZa1jl,standard including fees,EUR,238.0,391.0
Z698xZ2qZa1jl,standard,EUR,210.0,345.0
Z698xZ2qZa1bE,standard including fees,EUR,38.5,45.5
Z698xZ2qZa1bE,standard,EUR,34.0,40.0
Z698xZ2qZa1bR,standard,EUR,55.0,55.0
Z698xZ2qZa1bR,standard including fees,EUR,62.5,62.5
Z698xZ2qZa1bl,standard including fees,EUR,38.5,45.5
Z698xZ2qZa1bl,standard,EUR,34.0,40.0
Z698xZ2qZa1bs,standard,EUR,55.0,55.0
Z698xZ2qZa1bs,standard including fees,EUR,62.5,62.5
Z698xZ2qZaaT_,standard,EUR,40.0,48.0
Z698xZ2qZaaT_,standard including fees,EUR,45.5,54.5
Z698xZ2qZ1k8xkFvJ,standard,EUR,30.0,30.0
Z698xZ2qZ1k8xkFvJ,standard including fees,EUR,34.0,34.0
Z698xZ2qZaas-,standard including fees,EUR,51.0,250.0
Z698xZ2qZaas-,standard,EUR,45.0,220.0
Z698xZ2qZ1kJvQpx_,standard,EUR,30.0,30.0
Z698xZ2qZ1kJvQpx_,standard including fees,EUR,34.0,34.0
Z698xZ2qZaas9,standard,EUR,45.0,180.0
Z698xZ2qZaas9,standard including fees,EUR,51.0,208.0
Z698xZ2qZa14-,standard including fees,EUR,35.0,232.5
Z698xZ2qZa14-,standard,EUR,31.0,205.0
Z698xZ2qZa14P,standard including fees,EUR,35.0,232.5
Z698xZ2qZa14P,standard,EUR,31.0,205.0
Z698xZ2qZa14E,standard including fees,EUR,35.0,232.5
Z698xZ2qZa14E,standard,EUR,31.0,205.0
Z698xZ2qZa14N,standard,EUR,35.0,215.0
Z698xZ2qZa14N,standard including fees,EUR,39.5,245.0
Z698xZ2qZ16vuz7dOA,standard including fees,EUR,2.4,72.7
Z698xZ2qZ16vuz7dOA,standard,EUR,30.0,68.8
Z698xZ2qZa14s,standard,EUR,35.0,215.0
Z698xZ2qZa14s,standard including fees,EUR,39.5,243.5
Z698xZ2qZa14t,standard including fees,EUR,0.0,238.0
Z698xZ2qZa14t,standard,EUR,26.5,210.0
Z698xZ2qZa19K,standard including fees,EUR,28.5,28.5
Z698xZ2qZa19K,standard,EUR,25.0,25.0
Z698xZ2qZa14l,standard including fees,EUR,35.0,232.5
Z698xZ2qZa14l,standard,EUR,31.0,205.0
Z698xZ2qZa19R,standard,EUR,36.0,126.0
Z698xZ2qZa19R,standard including fees,EUR,41.0,143.0
Z698xZ2qZa19o,standard including fees,EUR,28.5,28.5
Z698xZ2qZa19o,standard,EUR,25.0,25.0
Z698xZ2qZa1jT,standard including fees,EUR,62.5,232.5
Z698xZ2qZa1jT,standard,EUR,55.0,205.0
Z698xZ2qZa14c,standard including fees,EUR,0.0,232.5
Z698xZ2qZa14c,standard,EUR,26.5,205.0
Z698xZ2qZa14R,standard including fees,EUR,0.0,232.5
Z698xZ2qZa14R,standard,EUR,26.5,205.0
Z698xZ2qZa1b9,standard including fees,EUR,34.0,73.5
Z698xZ2qZa1b9,standard,EUR,30.0,65.0
Z698xZ2qZa1b_,standard,EUR,121.0,121.0
Z698xZ2qZa1b_,standard including fees,EUR,137.0,137.0
Z698xZ2qZa14M,standard,EUR,35.0,215.0
Z698xZ2qZa14M,standard including fees,EUR,39.5,243.5
Z698xZ2qZa14g,standard,EUR,35.0,215.0
Z698xZ2qZa14g,standard including fees,EUR,39.5,243.5
Z698xZ2qZa195,standard including fees,EUR,41.0,123.0
Z698xZ2qZa195,standard,EUR,36.0,106.0
Z698xZ2qZa1_M,standard including fees,EUR,34.0,96.5
Z698xZ2qZa1_M,standard,EUR,30.0,85.0
Z698xZ2qZa1_l,standard,EUR,121.0,121.0
Z698xZ2qZa1_l,standard including fees,EUR,137.0,137.0
Z698xZ2qZa1_t,standard including fees,EUR,34.0,73.5
Z698xZ2qZa1_t,standard,EUR,30.0,65.0
Z698xZ2qZ1kx_vzAP,standard,EUR,26.0,26.0
Z698xZ2qZ1kx_vzAP,standard including fees,EUR,29.5,29.5
Z698xZ2qZa14D,standard,EUR,30.0,215.0
Z698xZ2qZa14D,standard including fees,EUR,0.0,243.5
Z698xZ2qZa14y,standard,EUR,30.0,215.0
Z698xZ2qZa14y,standard including fees,EUR,0.0,243.5
Z698xZ2qZ1krfAtqS,standard,EUR,26.0,26.0
Z698xZ2qZ1krfAtqS,standard including fees,EUR,29.5,29.5
Z698xZ2qZa1p6,standard including fees,EUR,0.0,233.5
Z698xZ2qZa1p6,standard,EUR,26.5,205.0
Z698xZ2qZa1vN,standard,EUR,40.0,40.0
Z698xZ2qZa1vN,standard including fees,EUR,45.5,45.5
Z698xZ2qZa1pa,standard including fees,EUR,0.0,232.5
Z698xZ2qZa1pa,standard,EUR,26.5,205.0
Z698xZ2qZ16vGZvFao,standard including fees,EUR,340.0,340.0
Z698xZ2qZ16vGZvFao,standard,EUR,300.0,300.0
Z698xZ2qZ1kCbGUCb,standard including fees,EUR,51.0,189.0
Z698xZ2qZ1kCbGUCb,standard,EUR,45.0,167.0
Z698xZ2qZa1jy,standard,EUR,35.0,42.0
Z698xZ2qZa1jy,standard including fees,EUR,39.5,47.5
Z698xZ2qZa1og,standard,EUR,40.0,40.0
Z698xZ2qZa1og,standard including fees,EUR,45.5,45.5
Z698xZ2qZa1pu,standard including fees,EUR,35.0,232.5
Z698xZ2qZa1pu,standard,EUR,31.0,205.0
Z698xZ2qZa1p2,standard including fees,EUR,0.0,232.5
Z698xZ2qZa1p2,standard,EUR,26.5,205.0
Z698xZ2qZa1p5,standard,EUR,35.0,220.0
Z698xZ2qZa1p5,standard including fees,EUR,39.5,249.5
Z698xZ2qZa1po,standard,EUR,35.0,220.0
Z698xZ2qZa1po,standard including fees,EUR,39.5,249.5
Z698xZ2qZa1fa,standard including fees,EUR,68.0,311.5
Z698xZ2qZa1fa,standard,EUR,60.0,275.0
Z698xZ2qZa1p4,standard,EUR,35.0,220.0
Z698xZ2qZa1p4,standard including fees,EUR,39.5,249.5
Z698xZ2qZa1pK,standard,EUR,30.0,220.0
Z698xZ2qZa1pK,standard including fees,EUR,0.0,249.5
Z698xZ2qZa1f-,standard including fees,EUR,68.0,300.5
Z698xZ2qZa1f-,standard,EUR,60.0,265.0
Z698xZ2qZa1bo,standard,EUR,27.0,27.0
Z698xZ2qZa1bo,standard including fees,EUR,30.5,30.5
Z698xZ2qZa1bK,standard,EUR,27.0,27.0
Z698xZ2qZa1bK,standard including fees,EUR,30.5,30.5
Z698xZ2qZ1kCvAMfF,standard,EUR,50.0,60.0
Z698xZ2qZ1kCvAMfF,standard including fees,EUR,56.5,68.0
Z698xZ2qZ1ku-1_Gd,standard,EUR,140.0,140.0
Z698xZ2qZ1ku-1_Gd,standard including fees,EUR,158.5,158.5
Z698xZ2qZ1kOUoZQ9,standard,EUR,40.0,40.0
Z698xZ2qZ1kOUoZQ9,standard including fees,EUR,45.5,45.5
Z698xZ2qZ1kQb8UbS,standard including fees,EUR,45.5,51.0
Z698xZ2qZ1kQb8UbS,standard,EUR,40.0,45.0
Z698xZ2qZa16S,standard including fees,EUR,28.5,130.5
Z698xZ2qZa16S,standard,EUR,25.0,115.0
Z698xZ2qZa16s,standard including fees,EUR,28.5,130.5
Z698xZ2qZa16s,standard,EUR,25.0,115.0
