event_id,name,type,url,locale,start_date,end_date,timezone,status,span_multiple_days,venue_id
Z698xZ2qZa1_o,María Becerra | Paquetes VIP,event,https://www.ticketmaster.es/event/maria-becerra-%7C-paquetes-vip-tickets/42577?language=en-us,en-us,2025-01-04,2025-01-04T20:00:00Z,Europe/Madrid,onsale,False,Z198xZ2qZkek
Z698xZ2qZa1by,María Becerra,event,https://www.ticketmaster.es/event/maria-becerra-tickets/42553?language=en-us,en-us,2025-01-04,2025-01-04T20:00:00Z,Europe/Madrid,onsale,False,Z198xZ2qZkek
Z698xZ2qZa1dh,LA CENDEJAS - TSUNAMI TOUR,event,https://www.ticketmaster.es/event/la-cendejas-tsunami-tour-tickets/41179?language=en-us,en-us,2025-01-16,2025-01-16T19:30:00Z,Europe/Madrid,onsale,False,Z198xZ2qZF11
Z698xZ2qZa1dE,LA CENDEJAS - TSUNAMI TOUR,event,https://www.ticketmaster.es/event/la-cendejas-tsunami-tour-tickets/41191?language=en-us,en-us,2025-01-17,2025-01-17T19:00:00Z,Europe/Madrid,cancelled,False,Z198xZ2qZA6k
Z698xZ2qZa1bu,Milo J,event,https://www.ticketmaster.es/event/milo-j-tickets/42509?language=en-us,en-us,2025-01-18,2025-01-18T20:00:00Z,Europe/Madrid,onsale,False,Z598xZ2qZe6d7
Z698xZ2qZa1b6,Milo J,event,https://www.ticketmaster.es/event/milo-j-tickets/42503?language=en-us,en-us,2025-01-19,2025-01-19T20:00:00Z,Europe/Madrid,onsale,False,Z198xZ2qZkek
Z698xZ2qZa16q,Spencer Sutherland | Paquetes VIP,event,https://www.ticketmaster.es/event/spencer-sutherland-%7C-paquetes-vip-tickets/41437?language=en-us,en-us,2025-01-26,2025-01-26T20:00:00Z,Europe/Madrid,onsale,False,Z198xZ2qZa67
Z698xZ2qZa1kS,Spencer Sutherland,event,https://www.ticketmaster.es/event/spencer-sutherland-tickets/41395?language=en-us,en-us,2025-01-26,2025-01-26T20:00:00Z,Europe/Madrid,onsale,False,Z198xZ2qZa67
Z698xZ2qZaa0o,Katherine Ryan - Battleaxe,event,https://www.ticketmaster.es/event/katherine-ryan-battleaxe-tickets/39185?language=en-us,en-us,2025-02-10,2025-02-10T22:00:00Z,Europe/Madrid,rescheduled,False,Z598xZ2qZ67A1
Z698xZ2qZa1_S,Polo & Pan European Tour 2025,event,https://www.ticketmaster.es/event/polo--pan-european-tour-2025-tickets/42611?language=en-us,en-us,2025-02-11,2025-02-11T20:00:00Z,Europe/Madrid,onsale,False,Z198xZ2qZAde
Z698xZ2qZaaTN,Slimane - WORLD TOUR,event,https://www.ticketmaster.es/event/slimane-world-tour-tickets/40931?language=en-us,en-us,2025-02-11,2025-02-11T19:30:00Z,Europe/Madrid,onsale,False,Z598xZ2qZ77dF
Z698xZ2qZa1_s,Polo & Pan European Tour 2025,event,https://www.ticketmaster.es/event/polo--pan-european-tour-2025-tickets/42609?language=en-us,en-us,2025-02-12,2025-02-12T19:30:00Z,Europe/Madrid,onsale,False,Z198xZ2qZkeF
Z698xZ2qZ1kpfCopb,Omar Rudberg - Every Night Fantasy Tour,event,https://www.ticketmaster.es/event/omar-rudberg-every-night-fantasy-tour-tickets/594391598?language=en-us,en-us,2025-02-15,2025-02-15T20:00:00Z,Europe/Madrid,onsale,False,Z198xZ2qZk7k
Z698xZ2qZa1dt,LA CENDEJAS - TSUNAMI TOUR,event,https://www.ticketmaster.es/event/la-cendejas-tsunami-tour-tickets/41193?language=en-us,en-us,2025-02-15,2025-02-15T20:00:00Z,Europe/Madrid,onsale,False,Z598xZ2qZ61Ak
Z698xZ2qZa1f2,Franz Ferdinand,event,https://www.ticketmaster.es/event/franz-ferdinand-tickets/42255?language=en-us,en-us,2025-02-15,2025-02-15T20:00:00Z,Europe/Madrid,onsale,False,Z598xZ2qZe6vk
Z698xZ2qZ16vC6v4AK,Omar Rudberg - Every Night Fantasy Tour,event,https://www.ticketmaster.es/event/omar-rudberg-every-night-fantasy-tour-tickets/1387055153?language=en-us,en-us,2025-02-16,2025-02-16T19:30:00Z,Europe/Madrid,onsale,False,Z198xZ2qZd6k
Z698xZ2qZ1k1aaPb6,Kikuo - KIKUOLAND GO-ROUND tour,event,https://www.ticketmaster.es/event/kikuo-kikuoland-go-round-tour-tickets/289265607?language=en-us,en-us,2025-02-17,2025-02-17T19:30:00Z,Europe/Madrid,onsale,False,Z198xZ2qZAA7
Z698xZ2qZa1fo,Franz Ferdinand,event,https://www.ticketmaster.es/event/franz-ferdinand-tickets/42257?language=en-us,en-us,2025-02-17,2025-02-17T20:00:00Z,Europe/Madrid,onsale,False,Z198xZ2qZAde
Z698xZ2qZa1fK,Franz Ferdinand,event,https://www.ticketmaster.es/event/franz-ferdinand-tickets/42259?language=en-us,en-us,2025-02-18,2025-02-18T20:00:00Z,Europe/Madrid,onsale,False,Z198xZ2qZkeF
Z698xZ2qZa1q-,Matt Hansen,event,https://www.ticketmaster.es/event/matt-hansen-tickets/42849?language=en-us,en-us,2025-02-20,2025-02-20T20:00:00Z,Europe/Madrid,onsale,False,Z598xZ2qZFd7k
Z698xZ2qZa1jL,LA CENDEJAS - TSUNAMI TOUR,event,https://www.ticketmaster.es/event/la-cendejas-tsunami-tour-tickets/42783?language=en-us,en-us,2025-02-21,2025-02-21T20:00:00Z,Europe/Madrid,onsale,False,Z598xZ2qZeF6k
Z698xZ2qZa1dl,LA CENDEJAS - TSUNAMI TOUR,event,https://www.ticketmaster.es/event/la-cendejas-tsunami-tour-tickets/41195?language=en-us,en-us,2025-02-22,2025-02-22T20:00:00Z,Europe/Madrid,onsale,False,Z198xZ2qZ6eF
Z698xZ2qZ16vQvr4Op,Rels B - A New Star World Tour 2025 | VIP Packages,event,https://www.ticketmaster.es/event/rels-b-a-new-star-world-tour-2025-%7C-vip-packages-tickets/1681795816?language=en-us,en-us,2025-03-01,2024-11-27T15:45:00Z,Europe/Madrid,offsale,False,Z198xZ2qZkek
Z698xZ2qZ16vo77Sb4,Rels B - A New Star World Tour 2025,event,https://www.ticketmaster.es/event/rels-b-a-new-star-world-tour-2025-tickets/1444133615?language=en-us,en-us,2025-03-01,2024-11-27T15:45:00Z,Europe/Madrid,offsale,False,Z198xZ2qZkek
Z698xZ2qZa1_v,almost monday – the DIVE tour | Paquetes VIP,event,https://www.ticketmaster.es/event/almost-monday--the-dive-tour-%7C-paquetes-vip-tickets/42561?language=en-us,en-us,2025-03-01,2025-03-01T20:00:00Z,Europe/Madrid,onsale,False,Z598xZ2qZFd7k
Z698xZ2qZa1bW,almost monday – the DIVE tour,event,https://www.ticketmaster.es/event/almost-monday--the-dive-tour-tickets/42557?language=en-us,en-us,2025-03-01,2025-03-01T20:00:00Z,Europe/Madrid,onsale,False,Z598xZ2qZFd7k
Z698xZ2qZa1d-,LA CENDEJAS - TSUNAMI TOUR,event,https://www.ticketmaster.es/event/la-cendejas-tsunami-tour-tickets/41185?language=en-us,en-us,2025-03-01,2025-03-01T20:00:00Z,Europe/Madrid,onsale,False,Z198xZ2qZ77F
Z698xZ2qZ1kO_uzkA,Rels B - A New Star World Tour 2025,event,https://www.ticketmaster.es/event/rels-b-a-new-star-world-tour-2025-tickets/819378185?language=en-us,en-us,2025-03-02,2025-03-02T20:00:00Z,Europe/Madrid,onsale,False,Z198xZ2qZkek
Z698xZ2qZ1koP3v1f,Rels B - A New Star World Tour 2025 | VIP Packages,event,https://www.ticketmaster.es/event/rels-b-a-new-star-world-tour-2025-%7C-vip-packages-tickets/465481294?language=en-us,en-us,2025-03-02,2025-03-02T20:00:00Z,Europe/Madrid,onsale,False,Z198xZ2qZkek
Z698xZ2qZa19l,Lawrence ? The Family Business Tour Part 2,event,https://www.ticketmaster.es/event/lawrence-the-family-business-tour-part-2-tickets/42475?language=en-us,en-us,2025-03-02,2025-03-02T20:00:00Z,Europe/Madrid,onsale,False,Z198xZ2qZAA7
Z698xZ2qZa1bD,almost monday – the DIVE tour,event,https://www.ticketmaster.es/event/almost-monday--the-dive-tour-tickets/42555?language=en-us,en-us,2025-03-02,2025-03-02T19:30:00Z,Europe/Madrid,onsale,False,Z598xZ2qZdvF1
Z698xZ2qZa1bT,almost monday – the DIVE tour | Paquetes VIP,event,https://www.ticketmaster.es/event/almost-monday--the-dive-tour-%7C-paquetes-vip-tickets/42559?language=en-us,en-us,2025-03-02,2025-03-02T19:30:00Z,Europe/Madrid,onsale,False,Z598xZ2qZdvF1
Z698xZ2qZa18s,Alec Benjamin - 12 Notes Tour,event,https://www.ticketmaster.es/event/alec-benjamin-12-notes-tour-tickets/42033?language=en-us,en-us,2025-03-05,2025-03-05T19:30:00Z,Europe/Madrid,onsale,False,Z198xZ2qZkeF
Z698xZ2qZa18g,Alec Benjamin - 12 Notes Tour,event,https://www.ticketmaster.es/event/alec-benjamin-12-notes-tour-tickets/42037?language=en-us,en-us,2025-03-06,2025-03-06T20:00:00Z,Europe/Madrid,onsale,False,Z198xZ2qZAde
Z698xZ2qZa1k5,Alan Walker,event,https://www.ticketmaster.es/event/alan-walker-tickets/41355?language=en-us,en-us,2025-03-06,2025-03-06T19:30:00Z,Europe/Madrid,onsale,False,Z198xZ2qZkeF
Z698xZ2qZ16vPvZUvv,Rels B - A New Star World Tour 2025,event,https://www.ticketmaster.es/event/rels-b-a-new-star-world-tour-2025-tickets/1941036041?language=en-us,en-us,2025-03-07,2025-03-07T20:00:00Z,Europe/Madrid,onsale,False,Z598xZ2qZe6d7
Z698xZ2qZ16vrA_obJ,Rels B - A New Star World Tour 2025 | VIP Packages,event,https://www.ticketmaster.es/event/rels-b-a-new-star-world-tour-2025-%7C-vip-packages-tickets/1785651626?language=en-us,en-us,2025-03-07,2025-03-07T20:00:00Z,Europe/Madrid,onsale,False,Z598xZ2qZe6d7
Z698xZ2qZ16v8dadag,Rels B - A New Star World Tour 2025,event,https://www.ticketmaster.es/event/rels-b-a-new-star-world-tour-2025-tickets/1403243275?language=en-us,en-us,2025-03-08,2024-11-27T15:45:00Z,Europe/Madrid,offsale,False,Z598xZ2qZe6d7
Z698xZ2qZ16voUZ_ea,Rels B - A New Star World Tour 2025 | VIP Packages,event,https://www.ticketmaster.es/event/rels-b-a-new-star-world-tour-2025-%7C-vip-packages-tickets/1476019089?language=en-us,en-us,2025-03-08,2024-11-27T15:45:00Z,Europe/Madrid,offsale,False,Z598xZ2qZe6d7
Z698xZ2qZa14W,2024-25 aespa LIVE TOUR - SYNK : PARALLEL LINE – in MADRID,event,https://www.ticketmaster.es/event/2024-25-aespa-live-tour-synk--parallel-line--in-madrid-tickets/42365?language=en-us,en-us,2025-03-12,2025-03-12T19:00:00Z,Europe/Madrid,onsale,False,Z198xZ2qZkek
Z698xZ2qZa162,Anastacia - #NTK25 Tour | Paquetes VIP,event,https://www.ticketmaster.es/event/anastacia-ntk25-tour-%7C-paquetes-vip-tickets/41423?language=en-us,en-us,2025-03-12,2025-03-12T20:00:00Z,Europe/Madrid,onsale,False,Z598xZ2qZ77dF
Z698xZ2qZa166,Anastacia - #NTK25 Tour,event,https://www.ticketmaster.es/event/anastacia-ntk25-tour-tickets/41415?language=en-us,en-us,2025-03-12,2025-03-12T20:00:00Z,Europe/Madrid,onsale,False,Z598xZ2qZ77dF
Z698xZ2qZa19A,2024-25 aespa LIVE TOUR - SYNK : PARALLEL LINE – in MADRID | VIP,event,https://www.ticketmaster.es/event/2024-25-aespa-live-tour-synk--parallel-line--in-madrid-%7C-vip-tickets/42437?language=en-us,en-us,2025-03-12,2025-03-12T19:00:00Z,Europe/Madrid,onsale,False,Z198xZ2qZkek
Z698xZ2qZa16a,Anastacia - #NTK25 Tour,event,https://www.ticketmaster.es/event/anastacia-ntk25-tour-tickets/41417?language=en-us,en-us,2025-03-13,2025-03-13T20:00:00Z,Europe/Madrid,onsale,False,Z598xZ2qZ77dF
Z698xZ2qZa16o,Anastacia - #NTK25 Tour | Paquetes VIP,event,https://www.ticketmaster.es/event/anastacia-ntk25-tour-%7C-paquetes-vip-tickets/41425?language=en-us,en-us,2025-03-13,2025-03-13T20:00:00Z,Europe/Madrid,onsale,False,Z598xZ2qZ77dF
Z698xZ2qZa16K,Anastacia - #NTK25 Tour | Paquetes VIP,event,https://www.ticketmaster.es/event/anastacia-ntk25-tour-%7C-paquetes-vip-tickets/41427?language=en-us,en-us,2025-03-15,2025-03-15T20:00:00Z,Europe/Madrid,onsale,False,Z598xZ2qZdF7k
Z698xZ2qZa16d,Anastacia - #NTK25 Tour,event,https://www.ticketmaster.es/event/anastacia-ntk25-tour-tickets/41411?language=en-us,en-us,2025-03-15,2025-03-15T20:00:00Z,Europe/Madrid,onsale,False,Z598xZ2qZdF7k
Z698xZ2qZa17M,Nemo - «Break The Code» Europe Tour 2025,event,https://www.ticketmaster.es/event/nemo-break-the-code-europe-tour-2025-tickets/41271?language=en-us,en-us,2025-03-19,2025-03-19T20:00:00Z,Europe/Madrid,postponed,False,Z198xZ2qZAA7
Z698xZ2qZa17R,Nemo - «Break The Code» Europe Tour 2025,event,https://www.ticketmaster.es/event/nemo-break-the-code-europe-tour-2025-tickets/41263?language=en-us,en-us,2025-03-20,2025-03-20T19:30:00Z,Europe/Madrid,postponed,False,Z198xZ2qZd6k
Z698xZ2qZa1pN,Cirque du Soleil: Corteo,event,https://www.ticketmaster.es/event/cirque-du-soleil-corteo-tickets/42403?language=en-us,en-us,2025-03-27,2025-03-27T19:30:00Z,Europe/Madrid,onsale,False,Z598xZ2qZe6d7
Z698xZ2qZa1pE,Cirque du Soleil: Corteo,event,https://www.ticketmaster.es/event/cirque-du-soleil-corteo-tickets/42407?language=en-us,en-us,2025-03-28,2025-03-28T19:30:00Z,Europe/Madrid,onsale,False,Z598xZ2qZe6d7
Z698xZ2qZa1pD,Gavin James,event,https://www.ticketmaster.es/event/gavin-james-tickets/42427?language=en-us,en-us,2025-03-29,2025-03-29T19:30:00Z,Europe/Madrid,onsale,False,Z598xZ2qZdAaF
Z698xZ2qZa1pP,Cirque du Soleil: Corteo,event,https://www.ticketmaster.es/event/cirque-du-soleil-corteo-tickets/42405?language=en-us,en-us,2025-03-29,2025-03-29T19:30:00Z,Europe/Madrid,onsale,False,Z598xZ2qZe6d7
Z698xZ2qZa1pt,Cirque du Soleil: Corteo,event,https://www.ticketmaster.es/event/cirque-du-soleil-corteo-tickets/42409?language=en-us,en-us,2025-03-29,2025-03-29T15:30:00Z,Europe/Madrid,onsale,False,Z598xZ2qZe6d7
Z698xZ2qZa1pR,Cirque du Soleil: Corteo,event,https://www.ticketmaster.es/event/cirque-du-soleil-corteo-tickets/42415?language=en-us,en-us,2025-03-30,2025-03-30T14:30:00Z,Europe/Madrid,onsale,False,Z598xZ2qZe6d7
Z698xZ2qZa1py,Gavin James,event,https://www.ticketmaster.es/event/gavin-james-tickets/42425?language=en-us,en-us,2025-03-30,2025-03-30T18:30:00Z,Europe/Madrid,onsale,False,Z598xZ2qZe1aF
Z698xZ2qZaaEP,FINAL FANTASY VII REBIRTH Orchestra World Tour,event,https://www.ticketmaster.es/event/final-fantasy-vii-rebirth-orchestra-world-tour-tickets/39397?language=en-us,en-us,2025-03-30,2025-03-30T17:45:00Z,Europe/Madrid,onsale,False,Z598xZ2qZe7Fe
Z698xZ2qZa1pl,Cirque du Soleil: Corteo,event,https://www.ticketmaster.es/event/cirque-du-soleil-corteo-tickets/42411?language=en-us,en-us,2025-04-03,2025-04-03T18:30:00Z,Europe/Madrid,onsale,False,Z598xZ2qZe6d7
